"Country or Area","Year","Item","Value"
"Puerto Rico","2014","Gross National Income (GNI)","68797500000"
"Puerto Rico","2009","Gross National Income (GNI)","63617900000"
"Puerto Rico","2004","Gross National Income (GNI)","51826500000"
"Qatar","2014","Gross National Income (GNI)","196924049114.011"
"Qatar","2009","Gross National Income (GNI)","88385813862.3626"
"Qatar","2004","Gross National Income (GNI)","29492411172.8022"
"Republic of Korea","2014","Gross National Income (GNI)","1491502105570.57"
"Republic of Korea","2009","Gross National Income (GNI)","942479070896.604"
"Republic of Korea","2004","Gross National Income (GNI)","791800859003.64"
"Republic of Moldova","2014","Gross National Income (GNI)","10500494493.1422"
"Republic of Moldova","2009","Gross National Income (GNI)","6896005664.79757"
"Republic of Moldova","2004","Gross National Income (GNI)","3544533993.07635"
"Republic of North Macedonia","2014","Gross National Income (GNI)","11149794823.1621"
"Republic of North Macedonia","2009","Gross National Income (GNI)","9334870950.32208"
"Republic of North Macedonia","2004","Gross National Income (GNI)","5647486078.16377"
"Romania","2014","Gross National Income (GNI)","197656139198.459"
"Romania","2009","Gross National Income (GNI)","172869405524.173"
"Romania","2004","Gross National Income (GNI)","71797376981.1685"
"Russian Federation","2014","Gross National Income (GNI)","1995579784002.41"
"Russian Federation","2009","Gross National Income (GNI)","1194848146677.25"
"Russian Federation","2004","Gross National Income (GNI)","582201880636.548"
"Rwanda","2014","Gross National Income (GNI)","7837366215.91055"
"Rwanda","2009","Gross National Income (GNI)","5342424353.29994"
"Rwanda","2004","Gross National Income (GNI)","2055592878.75868"
"Saint Kitts and Nevis","2014","Gross National Income (GNI)","886466655.925926"
"Saint Kitts and Nevis","2009","Gross National Income (GNI)","712601722.962963"
"Saint Kitts and Nevis","2004","Gross National Income (GNI)","470413850.37037"
"Saint Lucia","2014","Gross National Income (GNI)","1529266142.22222"
"Saint Lucia","2009","Gross National Income (GNI)","1203982908.14815"
"Saint Lucia","2004","Gross National Income (GNI)","779977777.777778"
"Saint Vincent and the Grenadines","2014","Gross National Income (GNI)","726197694.074074"
"Saint Vincent and the Grenadines","2009","Gross National Income (GNI)","661859259.259259"
"Saint Vincent and the Grenadines","2004","Gross National Income (GNI)","492359259.259259"
"Samoa","2014","Gross National Income (GNI)","751874668.824847"
"Samoa","2009","Gross National Income (GNI)","593049930.759268"
"Samoa","2004","Gross National Income (GNI)","369161765.128829"
"San Marino","2014","Gross National Income (GNI)","1571099670.3641"
"San Marino","2009","Gross National Income (GNI)","2011113068.30857"
"San Marino","2004","Gross National Income (GNI)","1724127955.64744"
"Sao Tome and Principe","2014","Gross National Income (GNI)","343118310.208516"
"Sao Tome and Principe","2009","Gross National Income (GNI)","187536840.462693"
"Sao Tome and Principe","2004","Gross National Income (GNI)","102264973.450257"
"Saudi Arabia","2014","Gross National Income (GNI)","772842053153.6"
"Saudi Arabia","2009","Gross National Income (GNI)","437738640757.333"
"Saudi Arabia","2004","Gross National Income (GNI)","260462203226.133"
"Senegal","2014","Gross National Income (GNI)","19302288380.8432"
"Senegal","2009","Gross National Income (GNI)","15672048536.935"
"Senegal","2004","Gross National Income (GNI)","9963185337.07682"
"Serbia","2014","Gross National Income (GNI)","42417122576.6326"
"Serbia","2009","Gross National Income (GNI)","41953303166.8852"
"Serbia","2004","Gross National Income (GNI)","23433826526.9418"
"Seychelles","2014","Gross National Income (GNI)","1260692474.53656"
"Seychelles","2009","Gross National Income (GNI)","752405937.097727"
"Seychelles","2004","Gross National Income (GNI)","805636363.636364"
"Sierra Leone","2014","Gross National Income (GNI)","4896171729.28072"
"Sierra Leone","2009","Gross National Income (GNI)","2515766611.01768"
"Sierra Leone","2004","Gross National Income (GNI)","1431618210.01136"
"Singapore","2014","Gross National Income (GNI)","302486878970.838"
"Singapore","2009","Gross National Income (GNI)","183490065472.784"
"Singapore","2004","Gross National Income (GNI)","106145540494.036"
"Sint Maarten (Dutch part)","2014","Gross National Income (GNI)","1013966480.44693"
"Sint Maarten (Dutch part)","2009","Gross National Income (GNI)","827441935.75419"
"Slovakia","2014","Gross National Income (GNI)","99673454113.3189"
"Slovakia","2009","Gross National Income (GNI)","88337490560.3606"
"Slovakia","2004","Gross National Income (GNI)","41338093031.6237"
"Slovenia","2014","Gross National Income (GNI)","49472455060.5408"
"Slovenia","2009","Gross National Income (GNI)","49529775492.5717"
"Slovenia","2004","Gross National Income (GNI)","33934322959.297"
"Solomon Islands","2014","Gross National Income (GNI)","1008659411.76929"
"Solomon Islands","2009","Gross National Income (GNI)","462403897.103781"
"Solomon Islands","2004","Gross National Income (GNI)","367098387.959256"
"Somalia","2014","Gross National Income (GNI)","1643373858.72355"
"Somalia","2009","Gross National Income (GNI)","1196402606.28995"
"Somalia","2004","Gross National Income (GNI)","1904307695.08197"
"South Africa","2014","Gross National Income (GNI)","341281078766.909"
"South Africa","2009","Gross National Income (GNI)","289309920846.262"
"South Africa","2004","Gross National Income (GNI)","224278942070.385"
"South Sudan","2014","Gross National Income (GNI)","18218305084.7458"
"South Sudan","2009","Gross National Income (GNI)","15321959273.5278"
"Spain","2014","Gross National Income (GNI)","1364378484123.79"
"Spain","2009","Gross National Income (GNI)","1457051712350.82"
"Spain","2004","Gross National Income (GNI)","1057190218099.87"
"Sri Lanka","2014","Gross National Income (GNI)","77548366030.4482"
"Sri Lanka","2009","Gross National Income (GNI)","47663271272.0268"
"Sri Lanka","2004","Gross National Income (GNI)","23449161337.4082"
"State of Palestine","2014","Gross National Income (GNI)","15472300000"
"State of Palestine","2009","Gross National Income (GNI)","8617800000"
"State of Palestine","2004","Gross National Income (GNI)","4831300000"
"Sudan","2014","Gross National Income (GNI)","70545441056.4419"
"Sudan","2009","Gross National Income (GNI)","41906817232.28"
"Suriname","2014","Gross National Income (GNI)","5169368484.84849"
"Suriname","2009","Gross National Income (GNI)","3880931876.13843"
"Suriname","2004","Gross National Income (GNI)","1747461591.07399"
"Sweden","2014","Gross National Income (GNI)","592527822982.355"
"Sweden","2009","Gross National Income (GNI)","445345118009.168"
"Sweden","2004","Gross National Income (GNI)","384800736256.648"
"Switzerland","2014","Gross National Income (GNI)","712234803789.949"
"Switzerland","2009","Gross National Income (GNI)","551788566792.486"
"Switzerland","2004","Gross National Income (GNI)","418642482070.507"
"Syrian Arab Republic","2014","Gross National Income (GNI)","18241841302.7963"
"Syrian Arab Republic","2009","Gross National Income (GNI)","53120994633.2737"
"Syrian Arab Republic","2004","Gross National Income (GNI)","23643774218.5482"
"Tajikistan","2014","Gross National Income (GNI)","12249839664.6121"
"Tajikistan","2009","Gross National Income (GNI)","6161983404.57632"
"Tajikistan","2004","Gross National Income (GNI)","2683648421.56645"
"Thailand","2014","Gross National Income (GNI)","386381477737.468"
"Thailand","2009","Gross National Income (GNI)","271838721402.31"
"Thailand","2004","Gross National Income (GNI)","165383655199.316"
"Timor-Leste","2014","Gross National Income (GNI)","3340837846"
"Timor-Leste","2009","Gross National Income (GNI)","2520446375"
"Timor-Leste","2004","Gross National Income (GNI)","683682089"
"Togo","2014","Gross National Income (GNI)","4600700255.56323"
"Togo","2009","Gross National Income (GNI)","3349898188.42725"
"Togo","2004","Gross National Income (GNI)","2215799971.14053"
"Tonga","2014","Gross National Income (GNI)","439848156.166643"
"Tonga","2009","Gross National Income (GNI)","330205017.912952"
"Tonga","2004","Gross National Income (GNI)","241077789.485364"
"Trinidad and Tobago","2014","Gross National Income (GNI)","25884212181.8175"
"Trinidad and Tobago","2009","Gross National Income (GNI)","18206685053.3012"
"Trinidad and Tobago","2004","Gross National Income (GNI)","12919550455.4565"
"Tunisia","2014","Gross National Income (GNI)","45929167832.4768"
"Tunisia","2009","Gross National Income (GNI)","41333728314.6026"
"Tunisia","2004","Gross National Income (GNI)","29910411126.2177"
"Turkey","2014","Gross National Income (GNI)","925685489833.189"
"Turkey","2009","Gross National Income (GNI)","636656973614.825"
"Turkey","2004","Gross National Income (GNI)","405164796168.602"
"Turkmenistan","2014","Gross National Income (GNI)","39603210526.3158"
"Turkmenistan","2009","Gross National Income (GNI)","18957543859.6491"
"Turkmenistan","2004","Gross National Income (GNI)","11976020335.6722"
"Turks and Caicos Islands","2014","Gross National Income (GNI)","901585781"
"Turks and Caicos Islands","2009","Gross National Income (GNI)","769414898"
"Turks and Caicos Islands","2004","Gross National Income (GNI)","531342211"
"Tuvalu","2014","Gross National Income (GNI)","60691530.3904069"
"Tuvalu","2009","Gross National Income (GNI)","42411871.4594112"
"Tuvalu","2004","Gross National Income (GNI)","36747339.6813023"
"Uganda","2014","Gross National Income (GNI)","27219570691.1633"
"Uganda","2009","Gross National Income (GNI)","18782103477.4196"
"Uganda","2004","Gross National Income (GNI)","9121681145.93595"
"Ukraine","2014","Gross National Income (GNI)","131977534226.342"
"Ukraine","2009","Gross National Income (GNI)","114783521203.15"
"Ukraine","2004","Gross National Income (GNI)","64236584807.3594"
"United Arab Emirates","2014","Gross National Income (GNI)","403796159202.723"
"United Arab Emirates","2009","Gross National Income (GNI)","260116965023.281"
"United Arab Emirates","2004","Gross National Income (GNI)","150473922444.656"
"United Kingdom of Great Britain and Northern Ireland","2014","Gross National Income (GNI)","3001242525181.99"
"United Kingdom of Great Britain and Northern Ireland","2009","Gross National Income (GNI)","2392863226497.61"
"United Kingdom of Great Britain and Northern Ireland","2004","Gross National Income (GNI)","2442163755538.47"
"United Republic of Tanzania: Mainland","2014","Gross National Income (GNI)","49412446256.0719"
"United Republic of Tanzania: Mainland","2009","Gross National Income (GNI)","28720832202.1953"
"United Republic of Tanzania: Mainland","2004","Gross National Income (GNI)","15273418819.6538"
"United Republic of Tanzania: Zanzibar","2014","Gross National Income (GNI)","1284611094.49897"
"United Republic of Tanzania: Zanzibar","2009","Gross National Income (GNI)","749135149.994262"
"United Republic of Tanzania: Zanzibar","2004","Gross National Income (GNI)","387785455.561349"
"United States","2014","Gross National Income (GNI)","18057489000000"
"United States","2009","Gross National Income (GNI)","14398708000000"
"United States","2004","Gross National Income (GNI)","12313988000000"
"Uruguay","2014","Gross National Income (GNI)","55300082354.0799"
"Uruguay","2009","Gross National Income (GNI)","30622762778.2427"
"Uruguay","2004","Gross National Income (GNI)","13095439385.3529"
"Uzbekistan","2014","Gross National Income (GNI)","79595335273.5357"
"Uzbekistan","2009","Gross National Income (GNI)","40048502452.6238"
"Uzbekistan","2004","Gross National Income (GNI)","14232050099.2237"
"Vanuatu","2014","Gross National Income (GNI)","801273972.837937"
"Vanuatu","2009","Gross National Income (GNI)","586804487.504784"
"Vanuatu","2004","Gross National Income (GNI)","346336881.6531"
"Venezuela (Bolivarian Republic of)","2014","Gross National Income (GNI)","359392065817.621"
"Venezuela (Bolivarian Republic of)","2009","Gross National Income (GNI)","326757335817.42"
"Venezuela (Bolivarian Republic of)","2004","Gross National Income (GNI)","108962284102.926"
"Viet Nam","2014","Gross National Income (GNI)","177360648761.112"
"Viet Nam","2009","Gross National Income (GNI)","101448142161.627"
"Viet Nam","2004","Gross National Income (GNI)","44576781404.8012"
"Yemen","2014","Gross National Income (GNI)","31741912225.5433"
"Yemen","2009","Gross National Income (GNI)","27377938742.9519"
"Yemen","2004","Gross National Income (GNI)","14341967633.1068"
"Zambia","2014","Gross National Income (GNI)","25588932555.5582"
"Zambia","2009","Gross National Income (GNI)","14909595959.5766"
"Zambia","2004","Gross National Income (GNI)","5822422447.96266"
"Zimbabwe","2014","Gross National Income (GNI)","17643284524"
"Zimbabwe","2009","Gross National Income (GNI)","8400637964"
"Zimbabwe","2004","Gross National Income (GNI)","7311109186"

